mt,mn,UL_obs,UL_exp
500,200,7.460763106510263,4.276188490698115
500,250,3.6682617324154805,3.2089581638643314
500,300,4.634633950243218,7.381474957241175
500,350,6.418357892795348,3.2434477406588793
500,400,5.689692755474609,3.3409052710921174
500,450,7.198244372175396,3.9897432378316107
600,200,1.128928830466763,1.898243672686495
600,250,2.332876680081742,1.9557228577704506
600,300,1.4574724364663887,2.1031493063247106
600,350,1.4904053636224608,0.9782368755683147
600,400,1.5706015068404189,2.4114421828306374
600,450,2.4033145370417004,1.4777108701136672
700,200,0.7414784015066329,0.7359752881568307
700,250,0.45316040549251185,0.84944601699863
700,300,0.46611946183776143,0.3452822090451204
700,350,0.6504541803249847,0.8771002707233386
700,400,0.7428869603571916,0.7068450704919975
700,450,0.7014045129813186,0.556875178336281
800,200,0.14726241621917102,0.16626344186047734
800,250,0.20266204840198704,0.2792575845845946
800,300,0.11654124208786205,0.1530382244146711
800,350,0.30876241245316516,0.24754751569406908
800,400,0.12915482089616978,0.2117407632699029
800,450,0.27209170125869037,0.33378315595529406
900,200,0.03580348556780024,0.0859374216653012
900,250,0.08186528346454873,0.05016140363528202
900,300,0.06999181658951771,0.08976942981096404
900,350,0.05291195739127491,0.08553705793113624
900,400,0.07934715793780119,0.04289085606909809
900,450,0.060726469497740874,0.0717996130277911
